split_group_id,normalized_rock_type,classification_cohort,material_count,material_ids,family_ids
sg_241791e02542,BASALT,TRAIN,1,vh49,fam_ee74c3427af3
sg_24394b6bbc30,RHYOLITE,TRAIN,1,rrsa6,fam_414d7a1c01b1
sg_2446e058a98c,BASALT,TRAIN,1,15d4,fam_23e472a25761
sg_247af88e9eb1,BASALT,TRAIN,1,rlg1,fam_3ac1dc71475f
sg_24bba3d540ba,BASALT,TRAIN,1,iah223,fam_187e3dad8838
sg_251b49e3fc0c,BASALT,TRAIN,1,hsdp302,fam_804fbb27a4bc
sg_25c164d18428,BASALT,TRAIN,1,ner133,fam_528a7b52b16d
sg_26532b15ba55,BASALT,TRAIN,1,hsdp304,fam_0ff3f6df1406
sg_2746f7ccb22b,TRACHYANDESITE,TRAIN,1,kn1911365,fam_fd54211a1070
sg_275c4517e12d,BASALT,TRAIN,1,ow2376p5,fam_e8a7f6aa4663
sg_27a7be06bfa0,BASALT,TRAIN,1,ow2456p5,fam_8808440650b8
sg_27b977445e71,BASALT,TRAIN,1,r96,fam_1f89d5e46e4e
sg_27d6d6379a2b,BASALTICANDESITE,X_T,1,iahee17,fam_6c7be2825f35
sg_2868e95e59fe,BASALT,I_T,1,r407,fam_e3d87959f617
sg_287b367354a6,BASALT,TRAIN,1,hsdp89,fam_1d45c183c72a
sg_28868371781a,BASALT,TRAIN,2,bhvo1ma|bhvo1mb,fam_9f76222017e7
sg_28a1315cbc5b,BASALT,TRAIN,1,hsdp221,fam_60e5f54dced0
sg_2908ac53aad9,RHYOLITE,TRAIN,1,ldm78,fam_36a12537728d
sg_296aed8cfb5d,BASALT,TRAIN,2,hsdp19|hsdp19a,fam_034d97cb7ea1
sg_29bda1aef51b,BASALT,TRAIN,1,75d3,fam_3c366af87576
sg_29dc9a9bee9a,BASALT,TRAIN,1,hsdp331,fam_2dad50f734c8
sg_29e5b915fd87,BASALT,TRAIN,1,hsdp29,fam_844c9800274d
sg_2ab614290139,BASALT,TRAIN,1,ml20,fam_f35bd58cfecc
sg_2b76fca773ec,TRACHYANDESITE,TRAIN,1,iahf1,fam_ea01c01e4dfd
sg_2bc18386799b,BASALT,TRAIN,1,sk207,fam_b5f431d0739e
sg_2bd8409cc32e,BASALT,TRAIN,1,hsdp63,fam_c5ff4769895b
sg_2c037608c41e,BASALT,TRAIN,1,srm688,fam_241df32e0710
sg_2c09b5e54e98,BASALT,TRAIN,1,41d11,fam_6b7aaf544d68
sg_2c93519dd737,BASALT,TRAIN,1,ner2530,fam_fcd0178df7ac
sg_2c949b8c4f5d,BASALT,TRAIN,1,ow2429,fam_324768cf8bee
sg_2ca8a7deb4f2,BASALT,TRAIN,1,hsdp179a,fam_9b1d7be34159
sg_2d4610915819,BASALT,TRAIN,1,w6,fam_5c7eacca8273
sg_2d693c93d54e,BASALTICANDESITE,I_T,1,vh51,fam_85e3389b7058
sg_2dab62143dc6,RHYOLITE,I_T,1,c12ma187,fam_3d2f0771eb8d
sg_2dabe90af852,RHYOLITE,TRAIN,1,vh20,fam_834b28649156
sg_2dff4ad79886,BASALT,TRAIN,1,iahcs3,fam_bd0b98b46664
sg_2ec616f4efdb,BASALT,TRAIN,1,1d17,fam_68f72cde209c
sg_2ecd819028e0,BASALT,TRAIN,1,62d7,fam_9e61177d9c05
sg_2eef42d84e2f,BASALT,TRAIN,1,hsdp166a,fam_36a18a8aeaef
sg_2ef91c8c11d6,BASALT,I_T,1,r121,fam_c2df51122e6e
sg_2f041139254a,BASALT,TRAIN,1,rpf1,fam_35d9416d837d
sg_2f4a3f0d615e,RHYOLITE,TRAIN,1,tr4490bm,fam_32a5f3bf6d02
sg_2fa16bc81bac,TRACHYANDESITE,I_V,1,g6mt,fam_d64f3f9f763a
sg_2fae0a2f3d2f,BASALT,TRAIN,2,hsdp92|hsdp92a,fam_0145cf324284
sg_2faf9e90ffac,BASALT,TRAIN,1,hsdp327a,fam_9be7ad3165bd
sg_2fd282ee480a,BASALT,TRAIN,1,ner305,fam_b823bef22c1f
sg_2fe06b3b530d,BASALT,TRAIN,1,umass1841,fam_71cd82ad1515
sg_30030150d420,BASALT,TRAIN,1,sk204,fam_b69e93a1247f
sg_3034d097a4bf,BASALT,TRAIN,1,6d8,fam_01ce27d51bd1
sg_30983c4e9aa1,BASALTICANDESITE,TRAIN,1,ner177,fam_2743ba6d169a
sg_30d2a0884b40,BASALT,I_T,1,umass18311,fam_8582871013f9
sg_30dc65a5af7f,BASALT,TRAIN,1,vh100pi,fam_5845a439d17f
sg_31a7b24a5990,BASALT,TRAIN,1,hsdp37a,fam_44a8ca5fd73c
sg_31dbec2f2c7b,BASALT,TRAIN,1,7d1,fam_63bdac7cf8a3
sg_327fb5dd19b9,BASALTICANDESITE,X_T,1,iahg14,fam_6663c2cd6546
sg_32af3aeaa099,BASALT,TRAIN,1,hv0207,fam_bdaadcdafd52
sg_3309bc346ab5,BASALT,TRAIN,1,29d16,fam_8ece4517ae8b
sg_33139dc58e20,BASALTICANDESITE,TRAIN,1,186m,fam_f0ae8b149242
sg_3361cb3193d9,RHYOLITE,TRAIN,1,snp9863,fam_9b2371a95c60
sg_33909d3fa948,BASALT,TRAIN,1,tt63307,fam_4b114c310c4f
sg_33bfe64e2d36,TRACHYANDESITE,I_T,1,g19mt,fam_2691978976d0
sg_349e3e77bcdd,BASALT,TRAIN,1,ml62a,fam_a5de9d6a7654
sg_352700cc8806,BASALTICANDESITE,I_T,1,vh98po,fam_d1483df236c1
sg_35b1de4c3e0a,BASALT,TRAIN,1,rhr861,fam_261532317dd4
sg_35d4fae5a4fd,BASALT,TRAIN,1,hsdp326b,fam_3cd26dcff2ee
sg_367c94ca8f92,BASALT,TRAIN,1,hsdp131,fam_cdd1e6a56c01
sg_37276d7eff13,BASALT,TRAIN,1,rki2,fam_069f7f865167
sg_3732db8b7039,RHYOLITE,TRAIN,1,vh5,fam_55ac132b1f5b
sg_3740c24605fa,BASALT,TRAIN,1,rdv3,fam_e1991466e17b
sg_37636de26d7a,BASALT,X_V,1,iahdiabase3,fam_02a6b11a9bab
sg_38066ae6b555,BASALT,I_T,1,hsdp230,fam_1b190bd277a5
sg_388646aa50a1,BASALT,TRAIN,1,hsdp72,fam_18f3aa02b09b
sg_3891dbdba18d,BASALT,TRAIN,1,63d3,fam_255ce228066e
sg_38965d8fc19e,BASALT,TRAIN,1,41d9,fam_4bc423b843a1
sg_38a6562a7eb1,BASALT,TRAIN,1,iahas6,fam_91fd85aeb700
sg_38a7bd3957e1,BASALT,TRAIN,1,hsdp343aa,fam_90c37171933a
sg_38ab1139cff1,BASALT,TRAIN,1,53d13,fam_9be96d07793e
sg_38f04bc7ebb3,BASALT,TRAIN,1,kv041,fam_1eb189d900fd
sg_392876004da6,RHYOLITE,TRAIN,1,dkm1590,fam_e266398bc95b
sg_3965426ca109,BASALT,TRAIN,2,hsdp28|hsdp28a,fam_ac563f0bf586
sg_39ae4c3587e3,BASALT,TRAIN,1,dc82576,fam_330f19d8cd47
sg_39f46085cbb9,BASALTICANDESITE,TRAIN,1,vh99pi,fam_069e8b62b072
sg_3b40972f9958,BASALT,TRAIN,1,vh99pm,fam_6d0126909f56
sg_3be3f75a2e42,BASALT,TRAIN,1,rgc1,fam_9bbf0eacfa94
sg_3c154470be84,BASALT,TRAIN,1,umass18314,fam_c9fd05fcc88a
sg_3c2a116148aa,BASALT,TRAIN,1,ow2409,fam_bd7bdea978fe
sg_3c962fc0014f,BASALT,TRAIN,1,ml84,fam_03cd41b3ecf6
sg_3ce3cc3d21a8,BASALT,TRAIN,1,hsdp112,fam_916bd11d3971
sg_3d34e4493b3f,RHYOLITE,TRAIN,1,rr8929,fam_e0eb301e7cd0
sg_3d6f22e75249,BASALT,TRAIN,1,ow1483,fam_b69d88601cee
sg_3d72ca1aae32,BASALT,TRAIN,2,hsdp20|hsdp20a,fam_722b45e81876
sg_3da474232c9e,BASALT,TRAIN,1,ml28,fam_b40d4f4b85dd
sg_3dc391f90ec8,BASALTICANDESITE,X_T,1,iahaa5,fam_01e6fc004bc3
sg_3de35463a28d,RHYOLITE,TRAIN,1,vh91m,fam_c1d78e7f997e
sg_3df5f57f19a4,BASALT,TRAIN,1,sk202,fam_cedaa7eb8ff7
sg_3df61b1bbbd5,BASALT,TRAIN,1,iah343,fam_7840e0245942
sg_3e4d2e60f3c2,TRACHYANDESITE,TRAIN,1,kn2533654,fam_31d12cade14f
sg_3eac602a4cdf,RHYOLITE,TRAIN,1,rr90101,fam_de7b54cab053
sg_3eb7b2e6eec6,BASALT,TRAIN,2,hsdp73|hsdp73a,fam_73ba87bf527b
sg_3ed665ac459f,BASALT,TRAIN,1,r129,fam_d0cf161fb1dc
sg_3f54286c33b0,BASALT,TRAIN,1,iahee11e,fam_3b3faa791f1e
sg_3f90492c2e94,BASALT,TRAIN,1,ow2500,fam_a823e10c406c
sg_3fb4676902c1,BASALT,TRAIN,1,iahee12,fam_7e8c6c2824c5
sg_400253857375,TRACHYANDESITE,TRAIN,1,ldm218a,fam_082671709053
sg_40e51369a896,BASALT,TRAIN,1,21d15,fam_f2eccff54517
sg_4143e346701d,BASALT,TRAIN,1,umass1832,fam_a0ca324a3a09
sg_41bb933e32c1,BASALT,TRAIN,1,hsdp132a,fam_e5f4d9db8f0d
sg_420722b517f8,TRACHYANDESITE,TRAIN,1,14p5,fam_2f1ae59a4da2
sg_421c8dcf4880,BASALT,TRAIN,1,81d1,fam_506d5ff76cdb
sg_426246b3f668,BASALT,TRAIN,1,umass18312,fam_1f4f512f2775
sg_4267edc00eb1,BASALT,TRAIN,1,r111,fam_51b29cd0b6c2
sg_426cc2e2f89c,BASALT,TRAIN,1,r896,fam_250f6a4139a2
sg_430e8874512c,RHYOLITE,I_T,1,ldm89,fam_5cf25a5948e9
sg_432cfe760dac,BASALTICANDESITE,TRAIN,1,ldm231,fam_85dc44d48c1c
sg_436fe9480e7f,RHYOLITE,X_T,1,iah221,fam_db9d9431364d
sg_4392d10a44b4,RHYOLITE,TRAIN,1,g1m,fam_719e6169e498
sg_43b3149feb6b,BASALT,TRAIN,1,31d161,fam_49c06499aebf
sg_43c173c8bebe,RHYOLITE,TRAIN,1,tr1790b,fam_431531138d92
sg_43fd3dfefc16,RHYOLITE,TRAIN,1,tr2866a,fam_4a7835912082
sg_4446566ecae3,BASALTICANDESITE,TRAIN,1,ldm95,fam_077e97dc1513
sg_44783fd2d166,BASALT,TRAIN,1,ner311,fam_bc9f9f75ffc9
sg_44886d636305,BASALT,TRAIN,1,hsdp56a,fam_063caf7bd1e3
sg_4557f4a2f6b1,BASALTICANDESITE,TRAIN,1,vh58,fam_da8eab43eba2
sg_4567cea0d787,BASALT,TRAIN,1,hsdp153,fam_2ee96f7f2504
sg_456c654a4fb3,RHYOLITE,X_V,1,gbw07113,fam_6a71ab85aae3
sg_45f65686a479,BASALT,TRAIN,1,hsdp62,fam_00f954859010
sg_460f53ab72f2,BASALT,TRAIN,1,hsdp155a,fam_ef0d0de7e083
sg_462df044050b,BASALT,TRAIN,1,15d38,fam_dcae5b0d4be1
sg_47581c77e2c8,BASALT,TRAIN,1,umass1828,fam_359697c9be12
sg_475d87e5a4b9,BASALT,TRAIN,1,31d153,fam_260fcc55c86d
sg_480a01a1c625,BASALT,TRAIN,1,hsdp205,fam_fd9aa6e3f5f7
sg_4841ca6c6ece,RHYOLITE,TRAIN,1,mr0609,fam_8691d7e691bc
sg_48b9d0476607,BASALT,TRAIN,1,ml95,fam_2efe8b15e6e2
sg_48e4d3f60d22,BASALT,TRAIN,1,stbk0303,fam_6a92eb69995e
sg_48eacb155b97,BASALT,TRAIN,1,hsdp330a,fam_a719e8cc9c9c
sg_4930198e0c6a,BASALT,TRAIN,1,ner2215,fam_e021a7f5341d
sg_49b4fdb7db9b,BASALT,TRAIN,2,hsdp83|hsdp83a,fam_7f1d1680758b
sg_49ba84ab5c48,BASALT,TRAIN,1,hsdp87,fam_59f1b0e606b9
sg_49dba1ace71c,BASALT,TRAIN,1,8d11,fam_18364424790c
sg_49e3367cdac3,BASALT,TRAIN,1,73d13,fam_88cf72c1c901
sg_4a2425e95cd3,BASALT,TRAIN,1,31d2,fam_cb421976603b
sg_4a9d6000cfb4,BASALT,TRAIN,1,ner1631c,fam_7947b1ea51af
sg_4b77b8a2fbb1,RHYOLITE,TRAIN,1,rrdh63,fam_61cb13ba4e67
sg_4b8a0c41345c,BASALT,TRAIN,1,1d24,fam_b03aed67d91f
sg_4bf0ad3bf915,BASALT,TRAIN,1,iahg4,fam_67aa43456dd6
sg_4c119a3ff164,BASALT,TRAIN,1,hsdp109,fam_909a2e843fed
sg_4c9e6c9d17c9,RHYOLITE,TRAIN,1,vh26,fam_b4d1106cf700
sg_4cb725239f14,RHYOLITE,TRAIN,1,tr3179a,fam_231fd9545a75
sg_4ce395c1f403,BASALT,TRAIN,1,r594,fam_3a9d0555ed1c
sg_4d075ac1cc87,BASALT,TRAIN,1,r133,fam_0e4f005fc633
sg_4d1a7e93beb4,RHYOLITE,I_T,1,ldm158,fam_56d14c8bfd18
sg_4d23e5c70c81,RHYOLITE,TRAIN,1,s10ma006a,fam_d609d9cf3ada
sg_4d46ed835046,BASALT,TRAIN,1,iahg12,fam_44d2aca04d10
sg_4d6c62306108,BASALT,TRAIN,1,hsdp207a,fam_1af11f66eb14
sg_4e6d10057b72,BASALTICANDESITE,I_T,1,vh57,fam_84fe55df84c1
sg_4e9bb64b4b0e,BASALT,TRAIN,1,hsdp141,fam_5410dbce2c8c
sg_4eaf79a333e7,BASALT,TRAIN,1,37d0a,fam_0e3e4a8a7e30
sg_4eb1f7e5f1f3,RHYOLITE,TRAIN,1,vh95m,fam_983c1149ea00
sg_4f8f6509c37e,RHYOLITE,TRAIN,1,gl7mt,fam_e38d7d83de92
sg_4f97d5999e65,BASALT,TRAIN,1,210m,fam_80ec8eda7ab9
sg_4fde1b25d7d5,BASALT,TRAIN,1,r954,fam_b050c5f4e355
sg_5007ebbad27e,BASALT,TRAIN,1,ner45,fam_c7af8e0acb3e
sg_5010063b9b72,TRACHYANDESITE,X_V,1,iahh8,fam_d3579ca846bf
sg_5033bde469e6,BASALT,TRAIN,1,iahg5,fam_0ec84205cdba
sg_503da212d26f,BASALT,TRAIN,1,hsdp157a,fam_f9b6ae83ce79
sg_506de416633c,BASALT,I_V,1,ow2486,fam_8f855072a472
sg_50a7905b8a25,BASALT,TRAIN,1,rsl5,fam_9a2d0ace64d7
sg_51abeac54e3d,BASALT,TRAIN,1,1984aa,fam_a6d5ea8216c3
sg_52210973dd40,BASALT,TRAIN,1,kv0416,fam_71453f50412d
sg_5241984a330c,BASALT,TRAIN,1,hsdp201,fam_7a2966a75f7c
sg_52658310746b,BASALT,TRAIN,1,19d58,fam_9a04a0c87643
sg_52c99ae2dd1d,BASALT,TRAIN,1,ml87,fam_cd8d05386170
sg_52ccccca7f1b,BASALTICANDESITE,TRAIN,1,m6mt,fam_2bdbba7d01dd
sg_52cf2ff54c0d,RHYOLITE,TRAIN,1,t11ct076,fam_f3095a505e87
sg_530f85117327,RHYOLITE,TRAIN,1,vh6,fam_038db71fa82f
sg_5324e26b7a2f,BASALT,TRAIN,1,hsdp81,fam_a62c11b014e7
sg_533c8d15c28d,BASALT,TRAIN,1,hsdp164,fam_2c69838ed937
sg_5387c1478da1,BASALT,TRAIN,1,14d24,fam_82b60e376ca1
sg_53e1d2281f2e,BASALT,TRAIN,2,hsdp198aa|hsdp198ab,fam_13ffb43301e5
sg_54df2dfed553,RHYOLITE,I_T,1,dkm1190,fam_d8c2dcbca31d
sg_54fe932a47fc,BASALT,TRAIN,1,53d24,fam_1d6db50d4326
sg_551a379efba2,BASALT,TRAIN,1,ner339,fam_64284c9e1593
sg_551d567e8bef,BASALT,TRAIN,1,hsdp183,fam_7a4c1ce8a446
sg_55b57b284659,BASALT,TRAIN,1,kh11k,fam_ad1abbbad2f0
sg_55bcb1e740d1,BASALT,TRAIN,1,hsdp199a,fam_b6d3f39ecb2f
sg_55c49d3343ea,BASALT,TRAIN,1,r91,fam_5b59afb1024d
sg_57781dbc0ca0,BASALT,TRAIN,1,holyoke,fam_34467a8cb865
sg_579e5537bbc0,BASALT,TRAIN,1,r856,fam_8827fedeae19
sg_57f7af58fdd1,BASALT,TRAIN,1,r83,fam_e9e230f2d525
sg_588623e7ff4f,BASALT,TRAIN,1,r135,fam_503b5ca844c1
sg_58ac4cc10b6d,BASALTICANDESITE,TRAIN,1,lp28,fam_e503a2c033cf
sg_58aeb6e85905,RHYOLITE,TRAIN,1,kn535883,fam_dfde90133b82
sg_594d08d89a13,BASALT,TRAIN,1,62d11,fam_f93d1bc0f15d
sg_59662c270f73,BASALT,TRAIN,1,umass1837,fam_87b775ef73e3
sg_5971a75dba0b,BASALT,TRAIN,1,iahe5,fam_6ffe35a8ce66
sg_5a362963a43a,BASALT,TRAIN,1,ml47,fam_680c24858eee
sg_5a364322ea94,BASALT,TRAIN,2,mg1a|mg1b,fam_e0e140ef3e53
sg_5a644c09f324,BASALT,TRAIN,1,hsdp117,fam_b5512c26c8f7
sg_5a6e80c40c8f,BASALT,TRAIN,1,sk222,fam_cc664165df49
sg_5abcfe967eea,BASALT,TRAIN,1,umass1821,fam_5c6d89699c91
sg_5aca9529d16f,TRACHYANDESITE,TRAIN,1,ldm244,fam_6d6c489d4ae1
sg_5b31d8a3e143,BASALT,TRAIN,1,iah225,fam_f1f17bca9ead
sg_5b5ddecefb71,BASALTICANDESITE,TRAIN,1,vh46,fam_fe13f503ef39
sg_5bc1206c66a8,BASALT,TRAIN,1,hsdp84,fam_96e0e2541737
sg_5bfdc074a043,BASALT,TRAIN,1,vh47,fam_ae07fb77a523
sg_5c313294a6fa,BASALT,TRAIN,1,70d52,fam_124f8fd2175a
sg_5c3fb5845aba,RHYOLITE,X_T,1,j9718,fam_924eea02c5b2
sg_5c4a687e425b,BASALT,I_T,1,hsdp123,fam_480dbf6a0f3c
sg_5c5acd74e5f0,BASALTICANDESITE,X_T,1,ldm175,fam_6db9a64a5841
sg_5cfb1373df4e,BASALT,TRAIN,1,33d17,fam_2ecf111e971b
