material_id,material_name,family_id,split_group_id,normalized_rock_type,classification_cohort,series_id
ldm245,LDM245,fam_1fd373e64ae9,sg_818f96a3d848,TRACHYANDESITE,I_T,family_fam_1fd373e64ae9
kh2,KH2,fam_227d3eea6b04,sg_83fdbfe3d48c,TRACHYANDESITE,I_T,family_fam_227d3eea6b04
iah4,IAH4,fam_2e5994b48d1f,sg_8f94e390d80f,TRACHYANDESITE,I_T,family_fam_2e5994b48d1f
g4mt,G4MT,fam_df5989759601,sg_9a23ab7e5a58,TRACHYANDESITE,I_T,family_fam_df5989759601
bk2,BK2,fam_9439fc1955ce,sg_c86ec50e43da,TRACHYANDESITE,I_T,family_fam_9439fc1955ce
ow2486,OW2486,fam_8f855072a472,sg_506de416633c,BASALT,I_V,family_fam_8f855072a472
hsdp284aa,HSDP284AA,fam_a653dd5af83a,sg_60c4adcb365f,BASALT,I_V,family_fam_a653dd5af83a
hsdp284ab,HSDP284AB,fam_a653dd5af83a,sg_60c4adcb365f,BASALT,I_V,family_fam_a653dd5af83a
43d14,43D14,fam_677c623d7d50,sg_b2a2b23b89ea,BASALT,I_V,family_fam_677c623d7d50
hsdp140,HSDP140,fam_c58ac8a72086,sg_f070edd34885,BASALT,I_V,family_fam_c58ac8a72086
ca28,CA28,fam_e2c56fef0030,sg_7c59d0431fcb,BASALTICANDESITE,I_V,family_fam_e2c56fef0030
vh45,VH45,fam_59d09326afad,sg_c8cbbea47da2,BASALTICANDESITE,I_V,family_fam_59d09326afad
ldm8,LDM8,fam_f54033d8f194,sg_cd9385893304,BASALTICANDESITE,I_V,family_fam_f54033d8f194
rki1,RKI1,fam_746efde876a0,sg_df8ea5454aa9,BASALTICANDESITE,I_V,family_fam_746efde876a0
buck901,BUCK901,fam_d5f097c55fa6,sg_030e5545e349,RHYOLITE,I_V,family_fam_d5f097c55fa6
r2098m,R2098M,fam_bf9950f24559,sg_1e78365cdc82,RHYOLITE,I_V,family_fam_bf9950f24559
tr3323a,TR3323A,fam_240545212564,sg_7847493bd9a7,RHYOLITE,I_V,family_fam_240545212564
snp968,SNP968,fam_ddc381301c8c,sg_dad53502c9ac,RHYOLITE,I_V,family_fam_ddc381301c8c
g6mt,G6MT,fam_d64f3f9f763a,sg_2fa16bc81bac,TRACHYANDESITE,I_V,family_fam_d64f3f9f763a
g21mt,G21MT,fam_724856978cb6,sg_70b0e87d2ad5,TRACHYANDESITE,I_V,family_fam_724856978cb6
suny67,SUNY67,fam_5cc9b3dee38f,sg_bedc744d0b9c,TRACHYANDESITE,I_V,family_fam_5cc9b3dee38f
ldm238,LDM238,fam_42004c6cd824,sg_c584dee87785,TRACHYANDESITE,I_V,family_fam_42004c6cd824
hsdp152,HSDP152,fam_1e3fbdeb7138,sg_0118748c621e,BASALT,TRAIN,family_fam_1e3fbdeb7138
dc42465,DC42465,fam_3006be0bbc9d,sg_01cc31855604,BASALT,TRAIN,family_fam_3006be0bbc9d
w11,W11,fam_e3a5ccfe1004,sg_029be2a884cf,BASALT,TRAIN,family_fam_e3a5ccfe1004
63d1,63D1,fam_b3f8d347a8e7,sg_030caf1552d9,BASALT,TRAIN,family_fam_b3f8d347a8e7
rir870,RIR870,fam_3ac7b302d757,sg_040460e2e92e,BASALT,TRAIN,family_fam_3ac7b302d757
ran7,RAN7,fam_54ef4a6576b0,sg_044c86952b86,BASALT,TRAIN,family_fam_54ef4a6576b0
68d23,68D23,fam_2f958d93157b,sg_0457fe1a60ba,BASALT,TRAIN,family_fam_2f958d93157b
sk173,SK173,fam_08f85da315c6,sg_04a86b611af7,BASALT,TRAIN,family_fam_08f85da315c6
mg3,MG3,fam_8b6ed963aa88,sg_04a9e3362c71,BASALT,TRAIN,family_fam_8b6ed963aa88
68d12,68D12,fam_311890a5ef62,sg_04e3618d01fb,BASALT,TRAIN,family_fam_311890a5ef62
sk219,SK219,fam_c05b579cc89a,sg_050f232582c2,BASALT,TRAIN,family_fam_c05b579cc89a
hsdp16,HSDP16,fam_5aae56bcab76,sg_0531df1e09b5,BASALT,TRAIN,family_fam_5aae56bcab76
hsdp16a,HSDP16A,fam_5aae56bcab76,sg_0531df1e09b5,BASALT,TRAIN,family_fam_5aae56bcab76
ml45,ML45,fam_b2de18d9fb37,sg_05a8058c48a3,BASALT,TRAIN,series_ml
hsdp15,HSDP15,fam_793dc3d356fa,sg_05c26b291392,BASALT,TRAIN,family_fam_793dc3d356fa
umass1823a,UMASS1823A,fam_88b897eb3bfc,sg_0654dcc28b7d,BASALT,TRAIN,family_fam_88b897eb3bfc
sk138,SK138,fam_f18d4835a772,sg_0699c2c1d70d,BASALT,TRAIN,family_fam_f18d4835a772
14d18,14D18,fam_abd3bdfb61bd,sg_06d788c91a64,BASALT,TRAIN,family_fam_abd3bdfb61bd
w7,W7,fam_3caf47a77e98,sg_06f6af400d1c,BASALT,TRAIN,family_fam_3caf47a77e98
umass1849,UMASS1849,fam_ace6cec9ac33,sg_073def565ff8,BASALT,TRAIN,family_fam_ace6cec9ac33
kv0421,KV0421,fam_a63705f99b31,sg_083646040170,BASALT,TRAIN,family_fam_a63705f99b31
hsdp181,HSDP181,fam_aafb6799813d,sg_087681bc191c,BASALT,TRAIN,family_fam_aafb6799813d
68d51,68D51,fam_7cb85d6cd2fd,sg_08d55638823d,BASALT,TRAIN,family_fam_7cb85d6cd2fd
tt17068d,TT17068D,fam_7cb85d6cd2fd,sg_08d55638823d,BASALT,TRAIN,family_fam_7cb85d6cd2fd
vh96p,VH96P,fam_a97dd659bf21,sg_092b3bccd5d1,BASALT,TRAIN,family_fam_a97dd659bf21
hsdp12,HSDP12,fam_17d9d5f54093,sg_09470692869a,BASALT,TRAIN,family_fam_17d9d5f54093
hsdp118,HSDP118,fam_315ea91578bf,sg_099ed58fea36,BASALT,TRAIN,family_fam_315ea91578bf
iah226,IAH226,fam_89e305df5c5b,sg_09a4e725cc18,BASALT,TRAIN,family_fam_89e305df5c5b
mg8a,MG8A,fam_deeedd1f08b6,sg_09ab17b8ef94,BASALT,TRAIN,family_fam_deeedd1f08b6
iahas2,IAHAS2,fam_fa084b96bfe6,sg_09f4ad46e2e4,BASALT,TRAIN,family_fam_fa084b96bfe6
hsdp148a,HSDP148A,fam_59ce10ef08da,sg_0a1ae90189c3,BASALT,TRAIN,family_fam_59ce10ef08da
53d21,53D21,fam_97ce9ef81db9,sg_0a73fa87ed0e,BASALT,TRAIN,family_fam_97ce9ef81db9
r126,R126,fam_5136c6387811,sg_0ad48b71b20b,BASALT,TRAIN,family_fam_5136c6387811
vh80d,VH80D,fam_2738a868c302,sg_0bb078b0af2f,BASALT,TRAIN,family_fam_2738a868c302
48d1,48D1,fam_c0c1fd97d5d0,sg_0bc4d581abf2,BASALT,TRAIN,family_fam_c0c1fd97d5d0
stbk0302,STBK0302,fam_42ee7b26f865,sg_0cca86b74dd5,BASALT,TRAIN,family_fam_42ee7b26f865
hsdp329,HSDP329,fam_15ca1a5f8992,sg_0d781723aa47,BASALT,TRAIN,family_fam_15ca1a5f8992
r915,R915,fam_15ca1a5f8992,sg_0d781723aa47,BASALT,TRAIN,family_fam_15ca1a5f8992
21d21,21D21,fam_b72938aefcd9,sg_0e79e929eb0e,BASALT,TRAIN,family_fam_b72938aefcd9
umass1859a,UMASS1859A,fam_c183da40e462,sg_0ee5d5b380eb,BASALT,TRAIN,family_fam_c183da40e462
hsdp288a,HSDP288A,fam_f401a3ab0150,sg_0f742eb9024e,BASALT,TRAIN,family_fam_f401a3ab0150
30d11,30D11,fam_5314fd468f78,sg_0f90748d13d5,BASALT,TRAIN,family_fam_5314fd468f78
hsdp312,HSDP312,fam_c92d548ffa66,sg_0f985492624a,BASALT,TRAIN,family_fam_c92d548ffa66
hsdp312a,HSDP312A,fam_c92d548ffa66,sg_0f985492624a,BASALT,TRAIN,family_fam_c92d548ffa66
hsdp176,HSDP176,fam_04a443aaa6e8,sg_0fce25651c7a,BASALT,TRAIN,family_fam_04a443aaa6e8
hsdp93,HSDP93,fam_ab0213b1844c,sg_0feda219e343,BASALT,TRAIN,family_fam_ab0213b1844c
ner29,NER29,fam_5fd9995880fa,sg_100b691ef486,BASALT,TRAIN,family_fam_5fd9995880fa
72d67,72D67,fam_e4f0ab0f7cb0,sg_10c204d683ba,BASALT,TRAIN,family_fam_e4f0ab0f7cb0
60d10,60D10,fam_ac0ef5da7268,sg_10ec62b691ba,BASALT,TRAIN,family_fam_ac0ef5da7268
29d2,29D2,fam_be06a6ac40d8,sg_10fb815903f1,BASALT,TRAIN,family_fam_be06a6ac40d8
ow9902,OW9902,fam_1f5dc88d64d5,sg_11b2ddbc679f,BASALT,TRAIN,family_fam_1f5dc88d64d5
hsdp278a,HSDP278A,fam_95da51cc27b3,sg_11ec1163a3fd,BASALT,TRAIN,family_fam_95da51cc27b3
ow2418,OW2418,fam_06b91f4e4209,sg_1305e5497354,BASALT,TRAIN,family_fam_06b91f4e4209
41d34,41D34,fam_cfb04d7a6aef,sg_13208857b455,BASALT,TRAIN,family_fam_cfb04d7a6aef
stbk0301,STBK0301,fam_b69934d9f75b,sg_13455220e909,BASALT,TRAIN,family_fam_b69934d9f75b
hsdp163,HSDP163,fam_01c0fd3cb837,sg_1386903ce8b4,BASALT,TRAIN,family_fam_01c0fd3cb837
72d53,72D53,fam_206f8635f49a,sg_13c794f75a9d,BASALT,TRAIN,family_fam_206f8635f49a
iahg2,IAHG2,fam_66d71f624cf0,sg_142d7e9c1411,BASALT,TRAIN,family_fam_66d71f624cf0
iahg7,IAHG7,fam_c862bbca1df1,sg_148c0fc00026,BASALT,TRAIN,family_fam_c862bbca1df1
21d41,21D41,fam_cbf5c93da71c,sg_14d27f0560c6,BASALT,TRAIN,family_fam_cbf5c93da71c
hsdp260a,HSDP260A,fam_f203df2785d7,sg_160d243466cd,BASALT,TRAIN,family_fam_f203df2785d7
iahi7,IAHI7,fam_d91ccb431d4d,sg_161f18823c24,BASALT,TRAIN,family_fam_d91ccb431d4d
hsdp80,HSDP80,fam_1144935e639d,sg_16c5b3d0a547,BASALT,TRAIN,family_fam_1144935e639d
hsdp80a,HSDP80A,fam_1144935e639d,sg_16c5b3d0a547,BASALT,TRAIN,family_fam_1144935e639d
vh101p,VH101P,fam_9334bda69568,sg_16c9fe576b08,BASALT,TRAIN,family_fam_9334bda69568
rdv2,RDV2,fam_5f2e8d8195c3,sg_17140a1fa7ff,BASALT,TRAIN,family_fam_5f2e8d8195c3
rcv852,RCV852,fam_c261946a706e,sg_17928c57c65d,BASALT,TRAIN,family_fam_c261946a706e
53d6,53D6,fam_9a0e1d397648,sg_1953c0d4c2be,BASALT,TRAIN,family_fam_9a0e1d397648
hsdp226a,HSDP226A,fam_90dc78e80808,sg_19b7612af3f9,BASALT,TRAIN,family_fam_90dc78e80808
hsdp91,HSDP91,fam_3f6ddf16d9df,sg_1a8a1db59d97,BASALT,TRAIN,family_fam_3f6ddf16d9df
r219,R219,fam_3f6ddf16d9df,sg_1a8a1db59d97,BASALT,TRAIN,family_fam_3f6ddf16d9df
hsdp111,HSDP111,fam_027e47099bd9,sg_1b0a4cc12969,BASALT,TRAIN,family_fam_027e47099bd9
hsdp114a,HSDP114A,fam_ab9bda7297e8,sg_1b19ee06103c,BASALT,TRAIN,family_fam_ab9bda7297e8
r153,R153,fam_42290df16ea7,sg_1bb44192a440,BASALT,TRAIN,family_fam_42290df16ea7
iah220,IAH220,fam_ce12dbef891d,sg_1bbc3fc4f9cb,BASALT,TRAIN,family_fam_ce12dbef891d
ner2842,NER2842,fam_eaf7f481e358,sg_1c1eb4670197,BASALT,TRAIN,family_fam_eaf7f481e358
vh88u,VH88U,fam_1b48b38fcf86,sg_1c70edf341b6,BASALT,TRAIN,family_fam_1b48b38fcf86
w9,W9,fam_ed6ee239b862,sg_1dbab5bb2b27,BASALT,TRAIN,family_fam_ed6ee239b862
hsdp172,HSDP172,fam_149a8f2ca1a8,sg_1e5435bc7ba9,BASALT,TRAIN,family_fam_149a8f2ca1a8
ml72,ML72,fam_e45fd1c21dfb,sg_1ef68c9d876c,BASALT,TRAIN,series_ml
rdv4,RDV4,fam_5aa0eca717d2,sg_1f2320cf73e6,BASALT,TRAIN,family_fam_5aa0eca717d2
6d9,6D9,fam_e3da88df1bb1,sg_1f69944a2755,BASALT,TRAIN,family_fam_e3da88df1bb1
2d1,2D1,fam_3a5fb20cd78f,sg_21377a348f4d,BASALT,TRAIN,family_fam_3a5fb20cd78f
68d50,68D50,fam_c2b266ef2cc4,sg_21b59b72399a,BASALT,TRAIN,family_fam_c2b266ef2cc4
53d12,53D12,fam_61125ffb63ce,sg_21e443a3fda0,BASALT,TRAIN,family_fam_61125ffb63ce
umass1853,UMASS1853,fam_8f423631b72c,sg_21f7d3d6d07a,BASALT,TRAIN,family_fam_8f423631b72c
kv043,KV043,fam_3ea10305b0ce,sg_223fae04d9e3,BASALT,TRAIN,family_fam_3ea10305b0ce
sk145,SK145,fam_3b4fc61b18ea,sg_2241ccf672ac,BASALT,TRAIN,family_fam_3b4fc61b18ea
vh49,VH49,fam_ee74c3427af3,sg_241791e02542,BASALT,TRAIN,family_fam_ee74c3427af3
15d4,15D4,fam_23e472a25761,sg_2446e058a98c,BASALT,TRAIN,family_fam_23e472a25761
rlg1,RLG1,fam_3ac1dc71475f,sg_247af88e9eb1,BASALT,TRAIN,family_fam_3ac1dc71475f
iah223,IAH223,fam_187e3dad8838,sg_24bba3d540ba,BASALT,TRAIN,family_fam_187e3dad8838
hsdp302,HSDP302,fam_804fbb27a4bc,sg_251b49e3fc0c,BASALT,TRAIN,family_fam_804fbb27a4bc
ner133,NER133,fam_528a7b52b16d,sg_25c164d18428,BASALT,TRAIN,family_fam_528a7b52b16d
hsdp304,HSDP304,fam_0ff3f6df1406,sg_26532b15ba55,BASALT,TRAIN,family_fam_0ff3f6df1406
ow2376p5,OW2376P5,fam_e8a7f6aa4663,sg_275c4517e12d,BASALT,TRAIN,family_fam_e8a7f6aa4663
ow2456p5,OW2456P5,fam_8808440650b8,sg_27a7be06bfa0,BASALT,TRAIN,family_fam_8808440650b8
r96,R96,fam_1f89d5e46e4e,sg_27b977445e71,BASALT,TRAIN,family_fam_1f89d5e46e4e
hsdp89,HSDP89,fam_1d45c183c72a,sg_287b367354a6,BASALT,TRAIN,family_fam_1d45c183c72a
bhvo1ma,BHVO1MA,fam_9f76222017e7,sg_28868371781a,BASALT,TRAIN,family_fam_9f76222017e7
bhvo1mb,BHVO1MB,fam_9f76222017e7,sg_28868371781a,BASALT,TRAIN,family_fam_9f76222017e7
hsdp221,HSDP221,fam_60e5f54dced0,sg_28a1315cbc5b,BASALT,TRAIN,family_fam_60e5f54dced0
hsdp19,HSDP19,fam_034d97cb7ea1,sg_296aed8cfb5d,BASALT,TRAIN,family_fam_034d97cb7ea1
hsdp19a,HSDP19A,fam_034d97cb7ea1,sg_296aed8cfb5d,BASALT,TRAIN,family_fam_034d97cb7ea1
75d3,75D3,fam_3c366af87576,sg_29bda1aef51b,BASALT,TRAIN,family_fam_3c366af87576
hsdp331,HSDP331,fam_2dad50f734c8,sg_29dc9a9bee9a,BASALT,TRAIN,family_fam_2dad50f734c8
hsdp29,HSDP29,fam_844c9800274d,sg_29e5b915fd87,BASALT,TRAIN,family_fam_844c9800274d
ml20,ML20,fam_f35bd58cfecc,sg_2ab614290139,BASALT,TRAIN,series_ml
sk207,SK207,fam_b5f431d0739e,sg_2bc18386799b,BASALT,TRAIN,family_fam_b5f431d0739e
hsdp63,HSDP63,fam_c5ff4769895b,sg_2bd8409cc32e,BASALT,TRAIN,family_fam_c5ff4769895b
srm688,SRM688,fam_241df32e0710,sg_2c037608c41e,BASALT,TRAIN,family_fam_241df32e0710
41d11,41D11,fam_6b7aaf544d68,sg_2c09b5e54e98,BASALT,TRAIN,family_fam_6b7aaf544d68
ner2530,NER2530,fam_fcd0178df7ac,sg_2c93519dd737,BASALT,TRAIN,family_fam_fcd0178df7ac
ow2429,OW2429,fam_324768cf8bee,sg_2c949b8c4f5d,BASALT,TRAIN,family_fam_324768cf8bee
hsdp179a,HSDP179A,fam_9b1d7be34159,sg_2ca8a7deb4f2,BASALT,TRAIN,family_fam_9b1d7be34159
w6,W6,fam_5c7eacca8273,sg_2d4610915819,BASALT,TRAIN,family_fam_5c7eacca8273
iahcs3,IAHCS3,fam_bd0b98b46664,sg_2dff4ad79886,BASALT,TRAIN,family_fam_bd0b98b46664
1d17,1D17,fam_68f72cde209c,sg_2ec616f4efdb,BASALT,TRAIN,family_fam_68f72cde209c
62d7,62D7,fam_9e61177d9c05,sg_2ecd819028e0,BASALT,TRAIN,family_fam_9e61177d9c05
hsdp166a,HSDP166A,fam_36a18a8aeaef,sg_2eef42d84e2f,BASALT,TRAIN,family_fam_36a18a8aeaef
rpf1,RPF1,fam_35d9416d837d,sg_2f041139254a,BASALT,TRAIN,family_fam_35d9416d837d
hsdp92,HSDP92,fam_0145cf324284,sg_2fae0a2f3d2f,BASALT,TRAIN,family_fam_0145cf324284
hsdp92a,HSDP92A,fam_0145cf324284,sg_2fae0a2f3d2f,BASALT,TRAIN,family_fam_0145cf324284
hsdp327a,HSDP327A,fam_9be7ad3165bd,sg_2faf9e90ffac,BASALT,TRAIN,family_fam_9be7ad3165bd
ner305,NER305,fam_b823bef22c1f,sg_2fd282ee480a,BASALT,TRAIN,family_fam_b823bef22c1f
umass1841,UMASS1841,fam_71cd82ad1515,sg_2fe06b3b530d,BASALT,TRAIN,family_fam_71cd82ad1515
sk204,SK204,fam_b69e93a1247f,sg_30030150d420,BASALT,TRAIN,family_fam_b69e93a1247f
6d8,6D8,fam_01ce27d51bd1,sg_3034d097a4bf,BASALT,TRAIN,family_fam_01ce27d51bd1
vh100pi,VH100PI,fam_5845a439d17f,sg_30dc65a5af7f,BASALT,TRAIN,family_fam_5845a439d17f
hsdp37a,HSDP37A,fam_44a8ca5fd73c,sg_31a7b24a5990,BASALT,TRAIN,family_fam_44a8ca5fd73c
7d1,7D1,fam_63bdac7cf8a3,sg_31dbec2f2c7b,BASALT,TRAIN,family_fam_63bdac7cf8a3
hv0207,HV0207,fam_bdaadcdafd52,sg_32af3aeaa099,BASALT,TRAIN,family_fam_bdaadcdafd52
29d16,29D16,fam_8ece4517ae8b,sg_3309bc346ab5,BASALT,TRAIN,family_fam_8ece4517ae8b
tt63307,TT63307,fam_4b114c310c4f,sg_33909d3fa948,BASALT,TRAIN,family_fam_4b114c310c4f
ml62a,ML62A,fam_a5de9d6a7654,sg_349e3e77bcdd,BASALT,TRAIN,series_ml
rhr861,RHR861,fam_261532317dd4,sg_35b1de4c3e0a,BASALT,TRAIN,family_fam_261532317dd4
hsdp326b,HSDP326B,fam_3cd26dcff2ee,sg_35d4fae5a4fd,BASALT,TRAIN,family_fam_3cd26dcff2ee
hsdp131,HSDP131,fam_cdd1e6a56c01,sg_367c94ca8f92,BASALT,TRAIN,family_fam_cdd1e6a56c01
rki2,RKI2,fam_069f7f865167,sg_37276d7eff13,BASALT,TRAIN,family_fam_069f7f865167
rdv3,RDV3,fam_e1991466e17b,sg_3740c24605fa,BASALT,TRAIN,family_fam_e1991466e17b
hsdp72,HSDP72,fam_18f3aa02b09b,sg_388646aa50a1,BASALT,TRAIN,family_fam_18f3aa02b09b
63d3,63D3,fam_255ce228066e,sg_3891dbdba18d,BASALT,TRAIN,family_fam_255ce228066e
41d9,41D9,fam_4bc423b843a1,sg_38965d8fc19e,BASALT,TRAIN,family_fam_4bc423b843a1
iahas6,IAHAS6,fam_91fd85aeb700,sg_38a6562a7eb1,BASALT,TRAIN,family_fam_91fd85aeb700
hsdp343aa,HSDP343AA,fam_90c37171933a,sg_38a7bd3957e1,BASALT,TRAIN,family_fam_90c37171933a
53d13,53D13,fam_9be96d07793e,sg_38ab1139cff1,BASALT,TRAIN,family_fam_9be96d07793e
kv041,KV041,fam_1eb189d900fd,sg_38f04bc7ebb3,BASALT,TRAIN,family_fam_1eb189d900fd
hsdp28,HSDP28,fam_ac563f0bf586,sg_3965426ca109,BASALT,TRAIN,family_fam_ac563f0bf586
hsdp28a,HSDP28A,fam_ac563f0bf586,sg_3965426ca109,BASALT,TRAIN,family_fam_ac563f0bf586
dc82576,DC82576,fam_330f19d8cd47,sg_39ae4c3587e3,BASALT,TRAIN,family_fam_330f19d8cd47
vh99pm,VH99PM,fam_6d0126909f56,sg_3b40972f9958,BASALT,TRAIN,family_fam_6d0126909f56
rgc1,RGC1,fam_9bbf0eacfa94,sg_3be3f75a2e42,BASALT,TRAIN,family_fam_9bbf0eacfa94
umass18314,UMASS18314,fam_c9fd05fcc88a,sg_3c154470be84,BASALT,TRAIN,family_fam_c9fd05fcc88a
ow2409,OW2409,fam_bd7bdea978fe,sg_3c2a116148aa,BASALT,TRAIN,family_fam_bd7bdea978fe
ml84,ML84,fam_03cd41b3ecf6,sg_3c962fc0014f,BASALT,TRAIN,series_ml
hsdp112,HSDP112,fam_916bd11d3971,sg_3ce3cc3d21a8,BASALT,TRAIN,family_fam_916bd11d3971
ow1483,OW1483,fam_b69d88601cee,sg_3d6f22e75249,BASALT,TRAIN,family_fam_b69d88601cee
hsdp20,HSDP20,fam_722b45e81876,sg_3d72ca1aae32,BASALT,TRAIN,family_fam_722b45e81876
hsdp20a,HSDP20A,fam_722b45e81876,sg_3d72ca1aae32,BASALT,TRAIN,family_fam_722b45e81876
ml28,ML28,fam_b40d4f4b85dd,sg_3da474232c9e,BASALT,TRAIN,series_ml
sk202,SK202,fam_cedaa7eb8ff7,sg_3df5f57f19a4,BASALT,TRAIN,family_fam_cedaa7eb8ff7
iah343,IAH343,fam_7840e0245942,sg_3df61b1bbbd5,BASALT,TRAIN,family_fam_7840e0245942
hsdp73,HSDP73,fam_73ba87bf527b,sg_3eb7b2e6eec6,BASALT,TRAIN,family_fam_73ba87bf527b
hsdp73a,HSDP73A,fam_73ba87bf527b,sg_3eb7b2e6eec6,BASALT,TRAIN,family_fam_73ba87bf527b
r129,R129,fam_d0cf161fb1dc,sg_3ed665ac459f,BASALT,TRAIN,family_fam_d0cf161fb1dc
iahee11e,IAHEE11E,fam_3b3faa791f1e,sg_3f54286c33b0,BASALT,TRAIN,family_fam_3b3faa791f1e
ow2500,OW2500,fam_a823e10c406c,sg_3f90492c2e94,BASALT,TRAIN,family_fam_a823e10c406c
iahee12,IAHEE12,fam_7e8c6c2824c5,sg_3fb4676902c1,BASALT,TRAIN,family_fam_7e8c6c2824c5
21d15,21D15,fam_f2eccff54517,sg_40e51369a896,BASALT,TRAIN,family_fam_f2eccff54517
umass1832,UMASS1832,fam_a0ca324a3a09,sg_4143e346701d,BASALT,TRAIN,family_fam_a0ca324a3a09
hsdp132a,HSDP132A,fam_e5f4d9db8f0d,sg_41bb933e32c1,BASALT,TRAIN,family_fam_e5f4d9db8f0d
81d1,81D1,fam_506d5ff76cdb,sg_421c8dcf4880,BASALT,TRAIN,family_fam_506d5ff76cdb
umass18312,UMASS18312,fam_1f4f512f2775,sg_426246b3f668,BASALT,TRAIN,family_fam_1f4f512f2775
r111,R111,fam_51b29cd0b6c2,sg_4267edc00eb1,BASALT,TRAIN,family_fam_51b29cd0b6c2
r896,R896,fam_250f6a4139a2,sg_426cc2e2f89c,BASALT,TRAIN,family_fam_250f6a4139a2
31d161,31D161,fam_49c06499aebf,sg_43b3149feb6b,BASALT,TRAIN,family_fam_49c06499aebf
ner311,NER311,fam_bc9f9f75ffc9,sg_44783fd2d166,BASALT,TRAIN,family_fam_bc9f9f75ffc9
hsdp56a,HSDP56A,fam_063caf7bd1e3,sg_44886d636305,BASALT,TRAIN,family_fam_063caf7bd1e3
hsdp153,HSDP153,fam_2ee96f7f2504,sg_4567cea0d787,BASALT,TRAIN,family_fam_2ee96f7f2504
hsdp62,HSDP62,fam_00f954859010,sg_45f65686a479,BASALT,TRAIN,family_fam_00f954859010
hsdp155a,HSDP155A,fam_ef0d0de7e083,sg_460f53ab72f2,BASALT,TRAIN,family_fam_ef0d0de7e083
15d38,15D38,fam_dcae5b0d4be1,sg_462df044050b,BASALT,TRAIN,family_fam_dcae5b0d4be1
umass1828,UMASS1828,fam_359697c9be12,sg_47581c77e2c8,BASALT,TRAIN,family_fam_359697c9be12
31d153,31D153,fam_260fcc55c86d,sg_475d87e5a4b9,BASALT,TRAIN,family_fam_260fcc55c86d
