material_idx,material_id,material_name,family_id,family_size,family_basis,series_id,series_size,category,major_oxide_sum_wt_percent,major_oxide_sum_rounded,major_oxide_fields_reported,major_oxide_closure_threshold,major_oxide_closure_excluded,stress_group,exclusion_reason,primary_include,cohort,complete_all10_unqualified,ood_score,radial_score,nearest_selection_train_distance,has_3mj,has_4mj,has_5mj,has_7mj,has_9mj
10,0242h,0242H,fam_349a04f3eb3c,1,singleton,family_fam_349a04f3eb3c,1,other,99.78999999999998,99.79,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
11,0243h,0243H,fam_1399f949335c,1,singleton,family_fam_1399f949335c,1,other,99.85000000000002,99.85,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
12,0245h,0245H,fam_45a7f44d5e0a,1,singleton,family_fam_45a7f44d5e0a,1,other,100.2,100.2,10,105.0,False,,,True,D_CORE,True,0.8942221023317674,0.650722731985025,0.0,True,True,True,False,False
13,0248h,0248H,fam_f25453a568a8,1,singleton,family_fam_f25453a568a8,1,other,99.83999999999999,99.84,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
14,0249h,0249H,fam_7d66fbf4778a,1,singleton,family_fam_7d66fbf4778a,1,other,99.82,99.82,10,105.0,False,,,True,D_CORE,True,0.8266561332316957,0.5883613921191108,0.0,True,True,True,False,False
15,0250h,0250H,fam_489e4d996d1b,1,singleton,family_fam_489e4d996d1b,1,other,98.97,98.97,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
16,0254h,0254H,fam_9f6ba5679994,1,singleton,family_fam_9f6ba5679994,1,other,99.21000000000001,99.21,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
17,0255h,0255H,fam_1c38dc6cbe8a,1,singleton,family_fam_1c38dc6cbe8a,1,other,99.17,99.17,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
18,0257h,0257H,fam_dcb948590ef6,1,singleton,family_fam_dcb948590ef6,1,other,98.79999999999998,98.8,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
19,0401h,0401H,fam_0e70b3dac833,1,singleton,family_fam_0e70b3dac833,1,other,97.61999999999998,97.62,10,105.0,False,,,True,D_CORE,True,0.7994060812664694,0.6911047158441775,0.0,True,True,True,False,False
20,04g029b,04G029B,fam_369eae2f24e8,1,singleton,family_fam_369eae2f24e8,1,other,100.08000000000003,100.08,10,105.0,False,,,True,D_CORE,True,,,,True,False,True,True,True
21,04g067,04G067,fam_ac7bc1384554,1,singleton,family_fam_ac7bc1384554,1,other,100.03999999999999,100.04,10,105.0,False,,,True,D_CORE,True,,,,True,False,True,True,True
22,0502h,0502H,fam_58bd477bc33a,1,singleton,family_fam_58bd477bc33a,1,other,97.91,97.91,10,105.0,False,,,True,D_CORE,True,0.6091098001214122,0.5312533145776686,0.0,True,True,True,False,False
23,0507h,0507H,fam_a7311372d3ca,1,singleton,family_fam_a7311372d3ca,1,other,99.91999999999999,99.92,10,105.0,False,,,True,A_SEEN_TEST,True,1.118531188897141,0.9135648991293145,0.0,True,True,True,False,False
24,0509h,0509H,fam_d6708131d94d,1,singleton,family_fam_d6708131d94d,1,other,99.57,99.57,10,105.0,False,,,True,V_OOD,True,1.4307478215862819,1.0579845031623234,0.9242767418487794,True,True,True,False,False
25,050a,050A,fam_550479b220b8,1,singleton,family_fam_550479b220b8,1,other,99.78,99.78,10,105.0,False,,,True,D_CORE,False,,,,True,False,True,True,True
26,0514h,0514H,fam_2fe5b0f52fe6,1,singleton,family_fam_2fe5b0f52fe6,1,other,99.17,99.17,10,105.0,False,,,True,D_CORE,True,0.9551972686874076,0.8151736676292439,0.0,True,True,True,False,False
27,0519h,0519H,fam_ca1059ca8237,1,singleton,family_fam_ca1059ca8237,1,other,99.00999999999999,99.01,10,105.0,False,,,True,D_CORE,True,0.8937644539201288,0.6236081499643239,0.0,True,True,True,False,False
28,0525ah,0525AH,fam_491f641c601f,1,singleton,family_fam_491f641c601f,1,other,99.83999999999996,99.84,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
29,0529h,0529H,fam_72ba923999db,1,singleton,family_fam_72ba923999db,1,other,98.8,98.8,10,105.0,False,,,True,D_CORE,True,0.6957073925772534,0.5445796590041684,0.0,True,True,True,False,False
30,0530h,0530H,fam_585f43de7d14,1,singleton,family_fam_585f43de7d14,1,other,98.97,98.97,10,105.0,False,,,True,D_CORE,True,0.5892566314100314,0.3987572367385193,0.0,True,True,True,False,False
31,0531h,0531H,fam_39cd5c6cea16,1,singleton,family_fam_39cd5c6cea16,1,other,98.4,98.4,10,105.0,False,,,True,A_SEEN_TEST,True,0.8689016318297271,0.5899506076399295,0.0,True,True,True,False,False
32,0532h,0532H,fam_b1d7397a1ca4,1,singleton,family_fam_b1d7397a1ca4,1,other,97.47,97.47,10,105.0,False,,,True,D_CORE,True,1.04548068091278,0.7052979491600212,0.0,True,True,True,False,False
33,0547h,0547H,fam_27259d3f0b18,1,singleton,family_fam_27259d3f0b18,1,other,98.21,98.21,8,105.0,False,,,True,D_CORE,False,,,,True,False,True,True,True
34,0548h,0548H,fam_4736c37dedcb,1,singleton,family_fam_4736c37dedcb,1,other,99.77000000000001,99.77,9,105.0,False,,,True,V_OOD,True,1.819267998893754,1.2918073969263715,1.2267629488828984,True,True,True,False,False
35,05g062,05G062,fam_fae93f5b7b2c,1,singleton,family_fam_fae93f5b7b2c,1,other,100.27000000000001,100.27,10,105.0,False,,,True,D_CORE,True,,,,False,False,True,True,False
36,0605h,0605H,fam_a23df1fc510d,1,singleton,family_fam_a23df1fc510d,1,other,97.81,97.81,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
37,0616h,0616H,fam_b7dd72296963,1,singleton,family_fam_b7dd72296963,1,other,97.75999999999999,97.76,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
38,0621h,0621H,fam_a54fa6781d41,1,singleton,family_fam_a54fa6781d41,1,other,99.67999999999999,99.68,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
39,10d7,10D7,fam_bb08b4fd970d,1,singleton,family_fam_bb08b4fd970d,1,other,99.42000000000002,99.42,10,105.0,False,,,True,A_SHOT_VAL,True,0.37910955074816555,0.30119565760649397,0.0,True,True,True,False,False
40,1183b,1183B,fam_d7b3277b462d,1,singleton,family_fam_d7b3277b462d,1,other,100.71000000000001,100.71,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
41,11d1,11D1,fam_8b78e6c5bebe,1,singleton,family_fam_8b78e6c5bebe,1,other,100.19999999999997,100.2,10,105.0,False,,,True,D_CORE,True,0.36715266207240493,0.3213545992292209,0.0,True,True,True,False,False
42,11d2,11D2,fam_5f72929371c5,1,singleton,family_fam_5f72929371c5,1,other,99.74000000000001,99.74,10,105.0,False,,,True,T_IN,True,0.37405550486521555,0.329719202559645,0.0529988980109371,True,True,True,False,False
43,11d28a,11D28A,fam_1d38d2c1ab61,1,singleton,family_fam_1d38d2c1ab61,1,other,99.81000000000003,99.81,10,105.0,False,,,True,D_CORE,True,0.3674979297093506,0.3230873251166569,0.0,True,True,True,False,False
44,11kmased001,11KMASED001,fam_e9571bdc732d,1,singleton,family_fam_e9571bdc732d,1,other,99.86999999999999,99.87,10,105.0,False,,,True,D_CORE,True,0.871714117656122,0.7262864941661451,0.0,True,True,True,False,False
45,11kmased002,11KMASED002,fam_88c29dc6ae77,1,singleton,family_fam_88c29dc6ae77,1,other,99.89,99.89,10,105.0,False,,,True,T_IN,True,0.49085850322368674,0.38066730136322063,0.6308059417294068,True,True,True,False,False
46,11kmased003,11KMASED003,fam_b350bf284b85,1,singleton,family_fam_b350bf284b85,1,other,100.22000000000001,100.22,10,105.0,False,,,True,V_IN,True,0.9651111023894912,0.6719741770820394,0.9789607316060882,True,True,True,False,False
47,11kmased004,11KMASED004,fam_ad65134363b9,1,singleton,family_fam_ad65134363b9,1,other,100.31,100.31,10,105.0,False,,,True,D_CORE,True,,,,True,False,True,False,False
48,11kmased005,11KMASED005,fam_014930f84586,1,singleton,family_fam_014930f84586,1,other,99.70000000000002,99.7,10,105.0,False,,,True,T_IN,True,0.7711766547759166,0.6420833231346196,0.604640981075018,True,True,True,False,False
49,11kmased006,11KMASED006,fam_5509fb7adbd0,1,singleton,family_fam_5509fb7adbd0,1,other,100.26000000000002,100.26,10,105.0,False,,,True,A_SEEN_TEST,True,0.707869566081023,0.5058083086426739,0.0,True,True,True,False,False
50,11kmased007,11KMASED007,fam_c301285aab91,1,singleton,family_fam_c301285aab91,1,other,99.73999999999998,99.74,10,105.0,False,,,True,T_IN,True,0.8201417225671918,0.6805598027148965,0.8651512303536535,True,True,True,False,False
51,11kmased008,11KMASED008,fam_09419b1ffa29,1,singleton,family_fam_09419b1ffa29,1,other,100.34999999999998,100.35,10,105.0,False,,,True,D_CORE,True,0.9636292601455517,0.5837249601357095,0.0,True,True,True,False,False
52,14d18,14D18,fam_abd3bdfb61bd,1,singleton,family_fam_abd3bdfb61bd,1,other,99.44999999999999,99.45,10,105.0,False,,,True,A_SHOT_VAL,True,0.3452983653602042,0.2829567150290424,0.0,True,True,True,False,False
53,14d24,14D24,fam_82b60e376ca1,1,singleton,family_fam_82b60e376ca1,1,other,99.44,99.44,10,105.0,False,,,True,D_CORE,True,0.347919362448188,0.2823866146116345,0.0,True,True,True,False,False
54,14p5,14P5,fam_2f1ae59a4da2,1,singleton,family_fam_2f1ae59a4da2,1,other,97.08,97.08,10,105.0,False,,,True,D_CORE,True,1.2360426025051514,0.7974191564886076,0.0,True,True,True,False,False
55,1596a,1596A,fam_53eb70aa05c8,1,singleton,family_fam_53eb70aa05c8,1,other,100.17999999999999,100.18,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
56,15d30,15D30,fam_378d464ddf20,1,singleton,family_fam_378d464ddf20,1,other,99.71999999999997,99.72,10,105.0,False,,,True,D_CORE,True,0.3974620603934095,0.3014607741959614,0.0,True,True,True,False,False
57,15d38,15D38,fam_dcae5b0d4be1,1,singleton,family_fam_dcae5b0d4be1,1,other,99.78,99.78,10,105.0,False,,,True,D_CORE,True,0.39546900858415157,0.2983945406432569,0.0,True,True,True,False,False
58,15d4,15D4,fam_23e472a25761,1,singleton,family_fam_23e472a25761,1,other,99.51999999999998,99.52,10,105.0,False,,,True,D_CORE,True,0.3937344966145291,0.29783698509980977,0.0,True,True,True,False,False
59,1782a,1782A,fam_964afa6bcdb3,1,singleton,family_fam_964afa6bcdb3,1,other,100.54,100.54,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
60,17d11,17D11,fam_e2ce0a86a98d,1,singleton,family_fam_e2ce0a86a98d,1,other,99.88999999999999,99.89,10,105.0,False,,,True,D_CORE,True,0.27334981224390936,0.23260523489111415,0.0,True,True,True,False,False
61,17d24,17D24,fam_35afa58c86e3,1,singleton,family_fam_35afa58c86e3,1,other,98.80000000000001,98.8,10,105.0,False,,,True,D_CORE,True,0.38169656796772944,0.2957478803975999,0.0,True,True,True,False,False
62,17d9,17D9,fam_ba4aab6369b7,1,singleton,family_fam_ba4aab6369b7,1,other,99.65,99.65,10,105.0,False,,,True,D_CORE,True,0.457958945194049,0.30901980977369836,0.0,True,True,True,False,False
63,1843a,1843A,fam_219f9fb9b59b,1,singleton,family_fam_219f9fb9b59b,1,other,100.54,100.54,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
64,186m,186M,fam_f0ae8b149242,1,singleton,family_fam_f0ae8b149242,1,other,94.79,94.79,10,105.0,False,,,True,V_IN,True,0.7612062516676295,0.5225748659825085,1.1415939027594812,True,True,True,False,False
65,1872a,1872A,fam_0702266f3aa6,1,singleton,family_fam_0702266f3aa6,1,other,99.97000000000001,99.97,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
66,18d1,18D1,fam_8546a4a71ff2,2,name_alias,family_fam_8546a4a71ff2,2,other,99.88,99.88,10,105.0,False,,,True,D_CORE,True,0.2949972782650154,0.2477624470204608,0.0,True,True,True,False,False
67,18d10,18D10,fam_ff6d57bc3d68,1,singleton,family_fam_ff6d57bc3d68,1,other,99.81,99.81,10,105.0,False,,,True,D_CORE,True,0.4538939435749543,0.3425856981211181,0.0,True,True,True,False,False
68,18d1a,18D1A,fam_8546a4a71ff2,2,name_alias,family_fam_8546a4a71ff2,2,other,99.57,99.57,10,105.0,False,,,True,D_CORE,True,0.25786896713000546,0.22391324761981782,0.0,True,True,True,False,False
69,1941b204,1941B204,fam_67f752c9df83,1,singleton,family_fam_67f752c9df83,1,other,99.97,99.97,10,105.0,False,,,True,T_IN,True,0.7279289323952677,0.4963787140715579,0.6072681016127618,True,True,True,False,False
70,1984aa,1984AA,fam_a6d5ea8216c3,1,singleton,family_fam_a6d5ea8216c3,1,other,99.89000000000001,99.89,10,105.0,False,,,True,D_CORE,True,0.5699644839138729,0.37697647936634276,0.0,True,True,True,False,False
71,19d18,19D18,fam_b8090f7a12a4,1,singleton,family_fam_b8090f7a12a4,1,other,99.87,99.87,10,105.0,False,,,True,D_CORE,True,0.4269827712282287,0.32519388088360285,0.0,True,True,True,False,False
72,19d43,19D43,fam_eafa097c152a,1,singleton,family_fam_eafa097c152a,1,other,100.33000000000001,100.33,10,105.0,False,,,True,D_CORE,True,0.4169697797975611,0.3190448587217718,0.0,True,True,True,False,False
73,19d58,19D58,fam_9a04a0c87643,1,singleton,family_fam_9a04a0c87643,1,other,99.8,99.8,10,105.0,False,,,True,D_CORE,True,0.4303632829085856,0.3256943138438116,0.0,True,True,True,False,False
74,19p5,19P5,fam_ce74e76ca0c5,1,singleton,family_fam_ce74e76ca0c5,1,other,99.46000000000002,99.46,10,105.0,False,,,True,T_IN,True,0.8471710008502438,0.569811476303202,0.49529412874965006,True,True,True,False,False
75,1d13,1D13,fam_2ca3a8492f96,1,singleton,family_fam_2ca3a8492f96,1,other,99.73,99.73,10,105.0,False,,,True,D_CORE,True,0.2763312264384936,0.22618898431602139,0.0,True,True,True,False,False
76,1d17,1D17,fam_68f72cde209c,1,singleton,family_fam_68f72cde209c,1,other,100.27000000000001,100.27,10,105.0,False,,,True,D_CORE,True,0.3005014559692172,0.2461487856165749,0.0,True,True,True,False,False
77,1d24,1D24,fam_b03aed67d91f,1,singleton,family_fam_b03aed67d91f,1,other,99.55,99.55,10,105.0,False,,,True,A_SHOT_VAL,True,0.3007104645704196,0.24475382811401508,0.0,True,True,True,False,False
78,1d30,1D30,fam_8d7a95664327,1,singleton,family_fam_8d7a95664327,1,other,99.44000000000003,99.44,10,105.0,False,,,True,D_CORE,True,0.34679542100416844,0.2714019913185246,0.0,True,True,True,False,False
79,2000a,2000A,fam_91ecfbd18633,1,singleton,family_fam_91ecfbd18633,1,other,100.05999999999999,100.06,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
80,2023b,2023B,fam_46810ca207b8,1,singleton,family_fam_46810ca207b8,1,other,98.0,98.0,10,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
81,203m,203M,fam_a25ffdd641db,1,singleton,family_fam_a25ffdd641db,1,other,89.77000000000002,89.77,10,105.0,False,,,True,V_OOD,True,2.427722496490842,1.52702027773263,1.1642859107215937,True,True,True,False,False
82,208m,208M,fam_eb5b03dc9438,1,singleton,family_fam_eb5b03dc9438,1,other,91.42999999999999,91.43,10,105.0,False,,,True,D_CORE,True,0.7469140632642963,0.5448609028341082,0.0,True,True,True,False,False
83,209m,209M,fam_132ecb98d031,1,singleton,family_fam_132ecb98d031,1,other,93.37,93.37,10,105.0,False,,,True,D_CORE,True,0.6394137761601975,0.4229729219300472,0.0,True,True,True,False,False
84,20d25,20D25,fam_88112af625f4,1,singleton,family_fam_88112af625f4,1,other,99.66000000000001,99.66,10,105.0,False,,,True,D_CORE,True,0.27971971795424444,0.22742549507696824,0.0,True,True,True,False,False
85,210m,210M,fam_80ec8eda7ab9,1,singleton,family_fam_80ec8eda7ab9,1,other,93.13999999999997,93.14,10,105.0,False,,,True,D_CORE,True,0.8378641323050544,0.5754266413631802,0.0,True,True,True,False,False
86,213m,213M,fam_9033b3f8c9d1,1,singleton,family_fam_9033b3f8c9d1,1,other,90.38999999999999,90.39,10,105.0,False,,,True,T_IN,True,0.6059342893556159,0.46987182640846514,0.5873483260011514,True,True,True,False,False
87,215m,215M,fam_49e1dec11f4c,1,singleton,family_fam_49e1dec11f4c,1,other,93.71999999999998,93.72,10,105.0,False,,,True,V_IN,True,0.5195439057311272,0.32926752480233845,0.5531115010433065,True,True,True,False,False
88,2160a,2160A,fam_9f0dfe0139b3,1,singleton,family_fam_9f0dfe0139b3,1,other,99.85000000000001,99.85,9,105.0,False,,,True,D_CORE,False,,,,True,True,True,False,False
89,216m,216M,fam_0e39ebaac0af,1,singleton,family_fam_0e39ebaac0af,1,other,92.77,92.77,10,105.0,False,,,True,V_IN,True,0.5476504193190626,0.38818839154747614,0.3020894040363939,True,True,True,False,False
90,21d1,21D1,fam_895947c25a3d,1,singleton,family_fam_895947c25a3d,1,other,100.08,100.08,10,105.0,False,,,True,D_CORE,True,0.4324310653050445,0.3335758717710117,0.0,True,True,True,False,False
91,21d15,21D15,fam_f2eccff54517,1,singleton,family_fam_f2eccff54517,1,other,99.72999999999999,99.73,10,105.0,False,,,True,D_CORE,True,0.43046416404612814,0.3305498698342173,0.0,True,True,True,False,False
92,21d21,21D21,fam_b72938aefcd9,1,singleton,family_fam_b72938aefcd9,1,other,100.01000000000002,100.01,10,105.0,False,,,True,D_CORE,True,0.433184996672152,0.33003541194160596,0.0,True,True,True,False,False
93,21d35,21D35,fam_452edbaae52d,1,singleton,family_fam_452edbaae52d,1,other,100.47999999999999,100.48,10,105.0,False,,,True,A_SHOT_VAL,True,0.4281103569518191,0.3269286281506649,0.0,True,True,True,False,False
94,21d41,21D41,fam_cbf5c93da71c,1,singleton,family_fam_cbf5c93da71c,1,other,99.78999999999999,99.79,10,105.0,False,,,True,D_CORE,True,0.4331921864620665,0.3347468273971994,0.0,True,True,True,False,False
95,23d8,23D8,fam_115714380801,1,singleton,family_fam_115714380801,1,other,99.71,99.71,10,105.0,False,,,True,A_SHOT_VAL,True,0.27171526550701697,0.2275708027003152,0.0,True,True,True,False,False
96,26d3,26D3,fam_796d1da0c061,1,singleton,family_fam_796d1da0c061,1,other,99.88000000000001,99.88,10,105.0,False,,,True,D_CORE,True,0.3276774152606228,0.2769548414349436,0.0,True,True,True,False,False
97,26d8a,26D8A,fam_589fee440dbc,1,singleton,family_fam_589fee440dbc,1,other,99.77000000000001,99.77,10,105.0,False,,,True,D_CORE,True,0.2884748085450345,0.2408667172266019,0.0,True,True,True,False,False
98,28d18,28D18,fam_9cbb275ff904,1,singleton,family_fam_9cbb275ff904,1,other,99.13000000000001,99.13,10,105.0,False,,,True,D_CORE,True,0.27053190490027756,0.22323985274173402,0.0,True,True,True,False,False
99,28d25,28D25,fam_33d10ef4cd58,1,singleton,family_fam_33d10ef4cd58,1,other,115.83000000000001,115.83,10,105.0,True,nonclosed_reference,major_oxide_sum_gt_105:115.83,False,STRESS_NONCLOSED_REFERENCE,True,,,,False,False,True,False,False
100,28d26,28D26,fam_ab14d5c3c7ee,1,singleton,family_fam_ab14d5c3c7ee,1,other,99.6,99.6,10,105.0,False,,,True,D_CORE,True,0.2714738161649995,0.22971908707740668,0.0,True,True,True,False,False
101,28d27,28D27,fam_26ef51c7d508,1,singleton,family_fam_26ef51c7d508,1,other,99.67,99.67,10,105.0,False,,,True,D_CORE,True,0.27557221711339186,0.22849306463931948,0.0,True,True,True,False,False
102,29d16,29D16,fam_8ece4517ae8b,1,singleton,family_fam_8ece4517ae8b,1,other,99.71,99.71,10,105.0,False,,,True,D_CORE,True,0.4121504434176252,0.3339674279555687,0.0,True,True,True,False,False
103,29d2,29D2,fam_be06a6ac40d8,1,singleton,family_fam_be06a6ac40d8,1,other,100.07,100.07,10,105.0,False,,,True,D_CORE,True,0.3830490416873682,0.3062982893067599,0.0,True,True,True,False,False
104,2d1,2D1,fam_3a5fb20cd78f,1,singleton,family_fam_3a5fb20cd78f,1,other,100.47,100.47,10,105.0,False,,,True,D_CORE,True,0.3474534721989676,0.27241437777206184,0.0,True,True,True,False,False
105,30d11,30D11,fam_5314fd468f78,1,singleton,family_fam_5314fd468f78,1,other,99.99,99.99,10,105.0,False,,,True,D_CORE,True,0.4555144999493397,0.34011881430781105,0.0,True,True,True,False,False
106,30d15,30D15,fam_076f20d89329,1,singleton,family_fam_076f20d89329,1,other,100.32999999999997,100.33,10,105.0,False,,,True,D_CORE,True,0.4570500756663609,0.3474412859540515,0.0,True,True,True,False,False
107,31d118,31D118,fam_f914a219d344,1,singleton,family_fam_f914a219d344,1,other,100.16,100.16,10,105.0,False,,,True,D_CORE,True,0.4191123652246994,0.3177372089849941,0.0,True,True,True,False,False
108,31d153,31D153,fam_260fcc55c86d,1,singleton,family_fam_260fcc55c86d,1,other,100.32000000000001,100.32,10,105.0,False,,,True,D_CORE,True,0.33981814920341696,0.27356022890079335,0.0,True,True,True,False,False
109,31d161,31D161,fam_49c06499aebf,1,singleton,family_fam_49c06499aebf,1,other,99.93,99.93,10,105.0,False,,,True,D_CORE,True,0.42494812274909455,0.3267152974840635,0.0,True,True,True,False,False
110,31d2,31D2,fam_cb421976603b,1,singleton,family_fam_cb421976603b,1,other,99.5,99.5,10,105.0,False,,,True,T_IN,True,0.32603647077839515,0.24961313299595136,0.1460690184932271,True,True,True,False,False
111,33d11,33D11,fam_3546fc72408f,1,singleton,family_fam_3546fc72408f,1,other,100.0,100.0,10,105.0,False,,,True,D_CORE,True,0.4355047317727614,0.32885414081120934,0.0,True,True,True,False,False
112,33d15,33D15,fam_e4c4bfbf371d,1,singleton,family_fam_e4c4bfbf371d,1,other,99.78000000000002,99.78,10,105.0,False,,,True,D_CORE,True,0.3507270601144402,0.29382928755845217,0.0,True,True,True,False,False
113,33d17,33D17,fam_2ecf111e971b,1,singleton,family_fam_2ecf111e971b,1,other,100.30000000000001,100.3,10,105.0,False,,,True,D_CORE,True,0.3525311199188909,0.29559977626729483,0.0,True,True,True,False,False
114,33d19,33D19,fam_326df69be0d8,1,singleton,family_fam_326df69be0d8,1,other,100.22,100.22,10,105.0,False,,,True,D_CORE,True,0.3412840758927841,0.28214970014852236,0.0,True,True,True,False,False
115,34d1,34D1,fam_966136fdf0d4,1,singleton,family_fam_966136fdf0d4,1,other,100.03999999999999,100.04,10,105.0,False,,,True,D_CORE,True,0.40545631928413517,0.3236687754425072,0.0,True,True,True,False,False
116,34p1,34P1,fam_cd0ea24529a2,1,singleton,family_fam_cd0ea24529a2,1,other,99.52999999999999,99.53,10,105.0,False,,,True,D_CORE,True,0.8589282547870325,0.5456725797890365,0.0,True,True,True,False,False
117,36d10,36D10,fam_bff674ead0a7,1,singleton,family_fam_bff674ead0a7,1,other,99.45000000000002,99.45,10,105.0,False,,,True,D_CORE,True,0.29165905481664844,0.24576555764446958,0.0,True,True,True,False,False
118,36d2,36D2,fam_670d9f24ff9b,1,singleton,family_fam_670d9f24ff9b,1,other,99.83,99.83,10,105.0,False,,,True,D_CORE,True,0.3841807108248623,0.3134049545045453,0.0,True,True,True,False,False
119,37d0a,37D0A,fam_0e3e4a8a7e30,1,singleton,family_fam_0e3e4a8a7e30,1,other,99.62999999999998,99.63,10,105.0,False,,,True,D_CORE,True,0.3430864771758697,0.28106955666264677,0.0,True,True,True,False,False
120,37d11,37D11,fam_4f8639261055,1,singleton,family_fam_4f8639261055,1,other,99.75999999999999,99.76,10,105.0,False,,,True,D_CORE,True,0.34150467511133153,0.2824890835616723,0.0,True,True,True,False,False
121,37d14,37D14,fam_ad8f2add7c93,1,singleton,family_fam_ad8f2add7c93,1,other,99.85,99.85,10,105.0,False,,,True,D_CORE,True,0.3396415509577958,0.2796227387100788,0.0,True,True,True,False,False
122,37d2,37D2,fam_17e92143782d,1,singleton,family_fam_17e92143782d,1,other,100.12,100.12,10,105.0,False,,,True,D_CORE,True,0.3558695427391525,0.29684938252286147,0.0,True,True,True,False,False
123,37d40,37D40,fam_c24696971957,1,singleton,family_fam_c24696971957,1,other,100.33999999999999,100.34,10,105.0,False,,,True,D_CORE,True,0.347938843378323,0.2846483065831238,0.0,True,True,True,False,False
124,39d4,39D4,fam_8fb54832dc84,1,singleton,family_fam_8fb54832dc84,1,other,99.67,99.67,10,105.0,False,,,True,D_CORE,True,0.3854587238625654,0.3141811481448702,0.0,True,True,True,False,False
125,41d11,41D11,fam_6b7aaf544d68,1,singleton,family_fam_6b7aaf544d68,1,other,99.42000000000003,99.42,10,105.0,False,,,True,D_CORE,True,0.35603159159195463,0.30887457795940726,0.0,True,True,True,False,False
126,41d2,41D2,fam_6b56b6c434d3,1,singleton,family_fam_6b56b6c434d3,1,other,99.94,99.94,10,105.0,False,,,True,D_CORE,True,0.4062185006312442,0.35841811034230364,0.0,True,True,True,False,False
127,41d22,41D22,fam_13f85d619fd3,1,singleton,family_fam_13f85d619fd3,1,other,99.81,99.81,10,105.0,False,,,True,D_CORE,True,0.3538861211379013,0.2952032626461539,0.0,True,True,True,False,False
128,41d3,41D3,fam_c86905b227b5,1,singleton,family_fam_c86905b227b5,1,other,99.89000000000001,99.89,10,105.0,False,,,True,D_CORE,True,0.3578600688894703,0.3048031472123446,0.0,True,True,True,False,False
